price,hall_effect,hotswap,backlight,screen,knob,category_encoded,brand_encoded,layout_encoded,mount_encoded,case_material_encoded,connectivity_encoded
74.0,0,1,1,0,0,2,5,9,3,1,2
77.0,0,1,1,0,0,2,5,9,7,1,2
35.0,0,0,0,0,0,2,5,3,7,1,2
63.0,0,1,1,0,1,2,5,3,1,1,2
64.0,0,1,1,0,1,2,5,3,1,1,2
69.0,0,1,1,0,1,2,5,3,1,1,2
114.0,0,1,1,0,1,2,5,7,1,1,2
69.0,0,1,1,0,1,2,5,2,7,0,2
89.0,0,1,1,0,0,2,5,3,7,1,2
85.0,0,1,1,0,1,2,6,7,1,1,2
64.0,0,1,0,0,0,2,6,7,1,1,1
69.0,0,1,1,0,0,2,6,9,6,1,2
99.0,0,1,0,0,0,2,6,7,1,1,0
157.0,0,1,1,0,0,2,6,3,1,1,1
104.0,0,1,0,0,0,2,6,3,1,1,1
89.0,0,1,1,0,0,2,6,2,7,1,1
109.0,0,0,0,0,0,2,6,0,7,0,2
105.0,0,1,1,0,0,2,6,7,1,1,2
99.0,0,1,1,0,0,2,6,3,7,0,2
95.0,0,1,0,0,0,2,6,7,7,1,2
119.0,0,1,1,0,0,2,6,3,1,1,2
119.0,0,1,1,0,0,2,6,3,1,1,2
94.0,0,1,1,0,0,2,6,0,7,0,1
89.0,0,1,1,0,0,2,6,0,7,0,1
149.0,0,1,1,0,0,2,6,3,7,1,2
140.0,0,1,1,0,0,2,7,3,1,0,2
266.0,0,0,0,0,0,2,8,3,7,0,0
65.0,0,0,1,0,0,0,9,9,7,1,1
79.0,0,0,1,0,0,0,9,2,7,1,2
85.0,0,1,1,0,0,0,9,2,7,1,2
180.0,0,0,1,0,1,2,10,1,7,0,0
95.0,0,1,1,0,0,2,10,9,7,1,2
244.0,0,1,1,0,0,2,10,18,7,0,1
62.0,0,1,1,0,1,2,10,3,3,1,2
127.0,0,1,0,0,0,2,10,9,7,1,1
99.0,0,1,1,0,0,2,10,3,1,0,2
79.0,0,1,1,0,0,2,11,7,7,0,2
79.0,0,1,1,0,0,2,11,7,7,0,2
129.0,0,1,1,0,1,2,11,18,7,0,2
129.0,0,1,1,0,1,2,11,18,7,0,2
99.0,0,1,1,0,1,2,11,18,7,1,2
59.0,0,1,0,0,0,2,11,18,7,1,2
33.0,0,1,0,0,0,2,11,18,7,1,2
38.0,0,1,0,0,0,2,11,18,7,1,2
54.0,0,1,0,0,1,2,11,18,7,1,2
24.0,0,1,1,0,0,2,11,18,7,1,2
45.0,0,1,1,0,0,2,11,0,7,1,2
45.0,0,1,1,0,0,2,11,0,7,1,2
59.0,0,1,0,0,0,2,11,18,7,1,2
39.0,0,1,0,0,0,2,11,18,7,1,2
209.0,0,1,1,0,1,2,11,18,7,0,2
229.0,0,1,0,0,0,2,11,18,7,1,2
109.0,0,1,0,0,0,2,11,18,7,1,2
229.0,0,1,0,0,0,2,11,18,7,0,2
199.0,0,1,0,0,0,2,11,18,7,0,2
229.0,0,1,0,0,0,2,11,18,7,0,2
199.0,0,1,1,0,1,2,11,7,7,0,2
99.0,0,1,0,0,1,2,11,18,7,0,2
270.0,0,1,1,0,0,2,12,2,7,1,2
59.0,0,1,1,0,1,0,13,7,1,1,2
149.0,0,1,1,0,0,2,14,3,1,0,2
79.0,0,1,1,0,1,1,15,7,1,1,2
135.0,0,1,1,0,1,1,15,17,1,1,2
54.0,0,1,1,0,1,0,16,18,3,0,1
69.0,0,1,1,0,1,0,16,18,3,0,1
45.0,0,1,0,0,1,0,16,18,7,1,1
189.0,0,1,0,0,0,2,17,9,1,0,2
159.0,0,1,1,0,0,2,18,3,1,0,2
209.0,0,1,1,0,0,2,18,3,1,1,0
205.0,0,0,1,0,0,2,19,9,7,0,0
125.0,0,1,1,0,1,2,19,9,1,1,1
85.0,0,1,0,0,0,1,20,3,1,0,2
79.0,0,1,1,0,0,1,20,3,1,0,2
89.0,0,1,1,0,1,1,20,3,3,0,2
89.0,0,1,1,0,1,1,21,7,7,1,2
83.0,0,1,1,0,1,1,21,0,1,1,2
55.0,0,1,1,0,1,1,21,3,1,1,2
49.0,0,1,1,0,0,1,21,2,1,1,2
59.0,0,1,1,0,1,1,21,18,1,0,2
63.0,0,0,1,0,1,1,21,18,1,0,2
74.0,0,1,1,0,1,1,21,18,1,0,2
60.0,0,1,1,0,1,1,21,3,1,0,2
129.0,0,1,1,0,1,1,21,3,1,0,2
139.0,0,1,1,0,1,1,21,7,1,0,2
120.0,0,1,1,0,1,1,21,9,1,0,2
145.0,0,1,0,0,1,1,21,17,1,0,2
108.0,0,0,0,0,0,1,22,3,7,0,2
129.0,0,1,0,0,0,2,23,7,7,0,2
148.0,0,1,1,0,0,2,23,7,1,0,2
167.0,0,1,1,0,0,2,23,7,1,0,2
148.0,0,1,1,0,0,2,23,7,1,0,2
69.0,0,1,0,0,0,2,23,18,1,1,2
89.0,0,1,1,0,0,2,23,3,1,1,2
89.0,0,1,1,0,0,2,23,18,1,1,2
80.0,0,1,1,0,0,2,23,3,1,1,2
119.0,0,1,1,0,0,2,23,3,1,0,2
165.0,0,1,1,0,0,2,23,3,1,0,2
200.0,0,1,1,0,0,2,24,18,7,0,1
130.0,0,1,1,0,1,2,24,3,5,1,2
90.0,0,0,1,0,1,2,24,0,7,0,1
159.0,0,0,1,0,1,2,24,9,7,0,1
90.0,0,0,1,0,1,2,24,0,7,0,1
90.0,0,1,1,0,0,2,24,2,7,1,2
189.0,0,1,0,0,1,2,25,7,3,0,1
199.0,0,1,0,0,0,2,25,9,3,0,2
184.0,0,1,0,0,0,2,25,9,3,0,2
169.0,0,1,0,0,0,2,25,7,2,0,1
59.0,0,1,1,0,1,2,26,18,2,0,1
49.0,0,1,1,0,0,2,26,18,7,0,1
49.0,0,1,1,0,1,2,26,18,7,0,1
75.0,0,1,0,0,1,2,26,18,7,0,1
106.0,0,1,1,0,0,1,27,1,1,0,2
69.0,0,1,1,0,0,1,27,0,7,1,1
78.0,0,1,1,0,0,1,27,1,7,0,2
119.0,0,0,0,0,0,1,27,1,1,0,0
96.0,0,0,0,0,0,1,27,2,7,1,0
149.0,0,1,1,0,0,1,27,15,7,1,2
125.0,0,0,1,0,0,2,28,7,1,1,2
224.0,0,1,1,0,1,2,28,7,1,0,2
119.0,0,0,0,0,0,2,28,9,7,1,1
119.0,0,1,1,0,0,2,28,9,1,1,2
169.0,0,1,1,0,0,2,28,17,1,1,2
119.0,0,0,0,0,1,2,28,3,7,1,2
110.0,0,0,0,0,1,2,28,7,1,1,2
149.0,0,0,0,0,0,2,28,7,7,1,2
129.0,0,1,1,0,1,2,28,7,1,1,2
114.0,0,0,0,0,1,2,28,7,7,0,2
149.0,0,1,0,0,0,2,29,18,2,0,2
119.0,0,1,1,0,0,1,30,9,5,1,2
139.0,0,1,1,0,1,1,31,18,7,0,2
185.0,0,1,1,0,0,2,32,7,1,1,2
84.0,0,0,0,0,0,2,33,18,7,0,0
79.0,0,0,0,0,0,2,33,18,7,0,0
159.0,0,0,0,0,0,2,33,18,7,0,0
176.0,0,0,0,0,0,2,33,18,7,0,0
185.0,0,0,0,0,0,2,33,18,7,0,0
185.0,0,0,0,0,0,2,33,18,7,0,0
185.0,0,0,0,0,0,2,33,18,7,0,0
185.0,0,0,0,0,0,2,33,18,7,0,0
64.0,0,0,0,0,0,2,33,2,7,0,0
154.0,0,1,0,0,1,2,33,3,3,1,2
154.0,0,1,0,0,1,2,33,3,3,1,2
154.0,0,1,0,0,1,2,33,3,3,1,2
154.0,0,1,0,0,1,2,33,3,3,1,2
154.0,0,1,1,0,1,2,33,3,3,1,2
154.0,0,1,0,0,1,2,33,3,3,1,2
154.0,0,1,0,0,1,2,33,3,3,1,2
207.0,0,1,1,0,0,2,33,9,7,1,0
174.0,0,1,1,0,0,2,33,7,7,1,1
255.0,0,1,0,0,0,2,34,4,1,0,2
119.0,0,0,1,0,0,1,35,0,7,0,2
99.0,0,1,1,0,1,1,35,7,7,1,2
159.0,0,1,1,0,0,1,35,15,7,1,2
179.0,0,1,1,0,0,2,36,0,3,1,1
109.0,0,1,1,0,0,2,36,3,3,1,1
159.0,0,1,1,0,0,2,36,7,3,0,1
99.0,0,0,1,0,0,2,36,2,3,1,1
129.0,0,0,1,0,0,2,36,2,3,0,1
114.0,0,0,0,0,0,2,36,0,3,1,1
139.0,0,1,1,0,0,2,36,2,3,1,1
149.0,0,0,1,0,0,2,36,2,3,0,1
119.0,0,0,1,0,0,2,36,2,3,1,1
126.0,0,0,0,0,0,2,36,3,3,1,0
139.0,0,0,0,0,0,2,36,3,3,1,1
139.0,0,0,0,0,0,2,36,3,3,1,2
149.0,0,0,0,0,0,2,36,3,3,1,1
95.0,0,0,1,0,0,2,36,2,3,0,1
129.0,0,1,1,0,0,2,36,3,3,0,1
109.0,0,0,0,0,0,2,36,3,3,1,1
109.0,0,0,0,0,0,2,36,3,3,1,1
135.0,0,0,0,0,0,2,36,3,3,1,1
119.0,0,0,0,0,0,2,36,3,3,1,0
109.0,0,0,0,0,0,2,36,3,3,1,1
119.0,0,0,0,0,0,2,36,3,3,1,0
116.0,0,0,0,0,0,2,36,3,3,1,0
109.0,0,0,0,0,0,2,36,3,3,1,1
119.0,0,0,0,0,0,2,36,3,3,1,1
102.0,0,0,0,0,0,2,36,3,3,1,1
109.0,0,0,0,0,0,2,36,3,3,1,2
144.0,0,0,0,0,0,2,36,3,3,1,2
89.0,0,0,0,0,0,2,36,9,3,1,1
94.0,0,0,1,0,0,2,36,0,3,1,1
99.0,0,0,0,0,0,2,36,0,3,1,0
94.0,0,0,1,0,0,2,36,0,3,1,1
99.0,0,0,0,0,0,2,36,0,3,1,1
99.0,0,0,0,0,0,2,36,0,3,1,1
79.0,0,0,1,0,0,2,36,2,3,1,1
79.0,0,0,1,0,0,2,36,2,3,1,1
