title,price,layout,mount,hall_effect,hotswap,case_material,backlight,connectivity,screen,knob
ATTACK SHARK K85 RT,$79,"75%,",Gasket Mount,yes,yes,"Alu case,",no,"Wired,",no,yes
ATTACK SHARK K86,$67,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
ATTACK SHARK X68 HE Rapid Trigger,$89,"65%,",n/a,yes,yes,Alu case,yes,"Wired,",no,no
AULA AU75 3 in 1,$57,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
AULA F108 Pro,$87,"100%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
AULA F65,$56,"65%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,no
AULA F68,$79,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
AULA F75,$66,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,yes
AULA F75 Max,$72,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
AULA F81,$95,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
AULA F87,$42,"80%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,no
AULA F87 Pro,$63,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
AULA F98,$60,"98%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,no
AULA F98 Pro,$89,"98%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",yes,yes
AULA F99,$71,"98%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,no
AULA F99 Pro,$70,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
AULA F99 Pro Gradient sideengraved,$89,"98%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,yes
AULA HERO68 HE,$59,"65%,",n/a,yes,no,Alu case,yes,"Wired,",no,no
AULA M75,$99,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
AULA WIN60,$35,"60%,",n/a,yes,no,n/a,yes,"Wired,",no,no
AULA WIN60HE,$58,"60%,",Gasket Mount,yes,yes,n/a,yes,"Wired,",no,no
AULA WIN60HE MAX,$63,"60%,",Gasket Mount,yes,yes,n/a,yes,"Wired,",no,no
AULA WIN68,$39,"65%,",n/a,yes,no,n/a,yes,"Wired,",no,no
AULA WIN68HE,$59,"95%,",Bottom Mount,yes,yes,n/a,yes,"Wired,",no,no
AULA WIN68HE MAX,$65,"95%,",Gasket Mount,yes,yes,n/a,yes,"Wired,",no,no
Ace Pad Tech APT04 HE,$89,"60%,",Plate Mount,yes,no,n/a,yes,"Wired,",no,no
Aesco A67/A83 Electric Induction RT,$169,"65%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Aiglatson Studio Constance,$399,"100%,",Top Mount,no,no,"Alu case,",no,n/a,no,no
Ajazz AC067 Cheese,$197,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Ajazz AC067 Mountain,$149,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Ajazz AC081,$159,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Ajazz AC100,$129,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Ajazz AC100 LCD,$89,"96%,",Gasket Mount,no,no,"Alu case,",yes,"Wireless,",yes,no
Ajazz AK33,$52,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Ajazz AK35I V2,$94,"100%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Ajazz AK35I V3 MAX Color,$109,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",yes,yes
Ajazz AK35i V3,$91,"100%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Ajazz AK40 Pro,$54,"80%,",n/a,no,no,n/a,yes,"Wireless,",no,no
Ajazz AK650,$68,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Ajazz AK680,$34,"65%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Ajazz AK680 MAX,$49,"65%,",Top Mount,yes,no,"Alu case,",yes,"Wired,",no,no
Ajazz AK816,$119,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Ajazz AK816 Pro,$149,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Ajazz AK820,$39,"75%,",Gasket Mount,no,yes,n/a,yes,"Wired,",no,yes
Ajazz AK820 AS Classic,$39,"75%,",Gasket Mount,no,yes,"Alu case,",no,"Wired,",no,yes
Ajazz AK820 Max,$59,"75%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",yes,yes
Ajazz AK820 Max Plus,$54,"75%,",n/a,no,yes,n/a,no,"Wireless,",yes,yes
Ajazz AK820 Max Retro Style,$59,"75%,",n/a,no,yes,n/a,no,"Wireless,",no,yes
Ajazz AK820 Pro,$55,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Ajazz AK832 Pro,$59,"75%,",Gasket Mount,no,no,"Alu case,",yes,"Wireless,",yes,no
Ajazz AK870,$46,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Ajazz AK870 Plus,$69,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
Ajazz AK870 Swappable,$83,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Ajazz AK870MC Rainbow,$29,"80%,",Bottom Mount,no,yes,n/a,yes,"Wired,",no,no
Ajazz AK871,$59,"80%,",n/a,no,yes,n/a,no,Wireless,no,no
Ajazz AK873,$79,"80%,",Sandwich Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Ajazz AK966,$139,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Ajazz AK980,$75,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
Ajazz AK992,$65,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Ajazz AK992 Summer,$59,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Ajazz AKC087,$74,"80%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
Ajazz AKC087 Thousandlayer crisp Structure Design,$77,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Ajazz AKL680,$35,"65%,",n/a,no,no,n/a,no,Wireless,no,no
Ajazz AKP815,$51,"75%,",Gasket Mount,no,no,n/a,yes,n/a,yes,no
Ajazz AKP815 LCD,$110,"75%,",Gasket Mount,no,no,n/a,yes,n/a,yes,no
Ajazz AKP846,$189,"75%,",Gasket Mount,no,yes,n/a,no,n/a,yes,yes
Ajazz AKP846 Cyberdeck 10.1″ Large,$175,"75%,",Gasket Mount,no,no,n/a,no,n/a,yes,yes
Ajazz AKS068 Alice,$63,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Ajazz AKS068 Pro,$64,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Ajazz AKS068 Pro Ergonomic,$69,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Ajazz AKS075,$77,"75%,",n/a,no,yes,n/a,yes,"Wireless,",yes,no
Ajazz AKS075 Ergonomic,$75,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Ajazz ALUX68 Series,$73,"65%,",n/a,yes,no,Alu case,yes,"Wired,",no,no
Ajazz Douyu DKW500,$114,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Ajazz K620T V2.0,$69,"60%,",n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Ajazz K690T Pro,$89,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Ajazz QS87,$99,"80%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Akko 5075B Plus,$85,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Akko 5075S,$64,"75%,",Gasket Mount,no,yes,n/a,no,"Wired,",no,no
Akko 5098B,$112,"96%,",n/a,no,yes,Alu case,yes,"Wireless,",yes,yes
Akko 9009 5087B Plus Nordic,$69,"80%,",Tray Mount,no,yes,n/a,yes,"Wireless,",no,no
Akko ACR Pro 75,$99,"75%,",Gasket Mount,no,yes,n/a,no,n/a,no,no
Akko ACR Pro Alice Plus,$157,"65%,",Gasket Mount,no,yes,n/a,yes,"Wired,",no,no
Akko ACR Pro68,$104,"65%,",Gasket Mount,no,yes,n/a,no,"Wired,",no,no
Akko ACR59 World Tour Tokyo,$89,"60%,",n/a,no,yes,n/a,yes,"Wired,",no,no
Akko Cinnamoroll 20th Anniversary 3108RF,$109,"100%,",n/a,no,no,Alu case,no,"Wireless,",no,no
Akko Cinnamoroll 20th Anniversary 5075B Plus,$105,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Akko Cinnamoroll 3068B Plus,$99,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Akko MG75W Bun Wonderland,$95,"75%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Akko MOD007BHE,$224,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,yes
Akko MOD007PC 7th Anniversary,$132,"75%,",Gasket Mount,yes,yes,n/a,yes,"Wired,",no,yes
Akko MU01 Autumn Wood,$119,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Akko MU01 Mountain Seclusion Wood,$119,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Akko My Melody 5108S,$94,"100%,",n/a,no,yes,Alu case,yes,"Wired,",no,no
Akko World Tour Tokyo R2 5108S,$89,"100%,",n/a,no,yes,Alu case,yes,"Wired,",no,no
Akko YU01 Resin,$149,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Alpaca Keyboards WhiteFox Eclipse,$140,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Angel,$266,"65%,",n/a,no,no,Alu case,no,n/a,no,no
Anne Pro Classic D87 Single Mode,$65,"80%,",n/a,no,no,n/a,yes,"Wired,",no,no
Anne Pro Pro 2,$79,"60%,",n/a,no,no,n/a,yes,"Wireless,",no,no
Anne Pro Pro 2D,$85,"60%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Apos Community Micro,$180,"40%,",n/a,no,no,Alu case,yes,n/a,no,yes
Apos Discord,$95,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Apos Gizmo Engineering GK6,$244,n/a,n/a,no,yes,Alu case,yes,"Wired,",no,no
Apos Kono 67Â°,$62,"65%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,yes
Apos Matt3o Luna Rossa,$350,n/a,n/a,no,no,Alu case,no,"Wireless,",no,no
Apos NOOIR CP01,$499,"60%,",n/a,no,no,Alu case,no,"Wireless,",no,yes
Apos Splatter,$127,"80%,",n/a,no,yes,n/a,no,"Wired,",no,no
Apos WhiteFox Eclipse,$99,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Azio Cascade,$79,"75%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Azio Cascade Slim,$79,"75%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Azio FOQO,$129,n/a,n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Azio FOQO Pro,$129,n/a,n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Azio IZO,$99,n/a,n/a,no,yes,n/a,yes,"Wireless,",no,yes
Azio IZO Numpad Calculator,$59,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
Azio KB505U Vision,$33,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
Azio KB506 Vision,$38,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
Azio KB510W,$54,n/a,n/a,no,yes,n/a,no,"Wireless,",no,yes
Azio KB512,$24,n/a,n/a,no,yes,n/a,yes,"Wireless,",no,no
Azio KB530 Antimicrobial PC,$45,"100%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Azio KB540 Antimicrobial,$45,"100%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Azio KM535 Antimicrobial Combo,$59,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
Azio KMC226 Water Proof Combo,$39,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
Azio RC Prestige,$209,n/a,n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Azio RCK MAPLE JAPANESE,$229,n/a,n/a,no,yes,n/a,no,Wireless,no,no
Azio Retro,$109,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
Azio Retro Classic,$229,n/a,n/a,no,yes,Alu case,no,"Wireless,",no,no
Azio Retro Classic USB,$199,n/a,n/a,no,yes,Alu case,no,"Wireless,",no,no
Azio Retro Compact,$229,n/a,n/a,no,yes,Alu case,no,"Wireless,",no,no
Azio Tera75,$199,"75%,",n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Azio USB,$99,n/a,n/a,no,yes,Alu case,no,"Wireless,",no,yes
BAROCCOMISTEL MD600 Alpha Split,$270,"60%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
BASIC AK82,$59,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
BASIC BK98 Explore The Stars,$79,"98%,",n/a,no,yes,n/a,yes,"Wireless,",yes,no
Backspace OASIS 65,$149,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Bat Knight BK75,$79,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Bat Knight Dream 75HE Rapid Trigger,$139,"75%,",Gasket Mount,yes,no,n/a,yes,"Wired,",no,no
Bat Knight Live100,$135,"98%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Binepad BNK8 Macropad,$54,n/a,Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,yes
Binepad BNK9 Macropad,$69,n/a,Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,yes
Binepad CandyPad Numpad,$55,n/a,n/a,no,yes,n/a,no,n/a,yes,yes
Binepad Pixie Macropad,$45,n/a,n/a,no,yes,n/a,no,"Wired,",no,yes
Black Shark Inductive RT,$189,"75%,",n/a,yes,yes,n/a,yes,"Wireless,",no,yes
CKW CKW80,$189,"80%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Cerakey Cerakeys Nada65 Panda Edition,$159,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Cerakey Nada 65 Panda Ceramic,$209,"65%,",Gasket Mount,no,yes,n/a,yes,n/a,no,no
Cherry MX8.0,$205,"80%,",n/a,no,no,Alu case,yes,n/a,no,no
Cherry Pulsar Xboard MS,$125,"80%,",Gasket Mount,no,yes,n/a,yes,"Wired,",no,yes
Chilkey ND,$115,"80%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Chilkey ND65,$85,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Chilkey ND65 CS HE,$129,"65%,",Gasket Mount,yes,yes,"Alu case,",no,"Wired,",no,no
Chilkey ND65 Jet,$79,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Chilkey ND75,$99,"75%,",Top Mount,no,yes,n/a,yes,"Wireless,",yes,no
Chilkey ND75 Flex Cut PCB,$109,"75%,",Plate Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Chilkey ND75 June,$99,"75%,",Top Mount,no,yes,n/a,yes,"Wireless,",yes,no
Chilkey ND75 LP,$104,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",yes,no
Chilkey ND75 Non Flex Cut PCB,$109,"75%,",Plate Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Chilkey Paw65,$89,"65%,",Plate Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Chilkey Slice75 HE,$169,"75%,",Gasket Mount,yes,yes,"Alu case,",no,"Wired,",no,no
Cidoo ABM066,$59,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Cidoo ABM081 Stellar,$56,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Cidoo ABM084,$89,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
Cidoo ABM098,$83,"100%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Cidoo C75,$139,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wired,",no,yes
Cidoo Nebula,$55,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Cidoo QK61 V2,$49,"60%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Cidoo V21,$59,n/a,Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Cidoo V21 Number Pad,$63,n/a,Gasket Mount,no,no,"Alu case,",yes,"Wireless,",no,yes
Cidoo V21 Numpad Macropad,$74,n/a,Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Cidoo V65,$60,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Cidoo V65 V3,$129,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Cidoo V68,$124,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Cidoo V75 Plus,$129,"75%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",yes,no
Cidoo V75 Pro,$139,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Cidoo V87,$120,"80%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Cidoo V98,$145,"98%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
ColorReco CRKB10 Alice,$108,"65%,",n/a,no,no,Alu case,no,"Wireless,",no,no
Coolkiller Balloon84,$129,"75%,",n/a,no,yes,Alu case,no,"Wireless,",no,no
Coolkiller CK108,$219,"100%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,yes
Coolkiller CK68,$190,"68%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
Coolkiller CK68 Polar Bear,$189,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
Coolkiller CK75,$148,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Coolkiller CK75 Pixel Fairytale,$167,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Coolkiller CK75 Polar Bear,$148,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Coolkiller CK98,$194,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Coolkiller Next75 Porcelain,$539,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Coolkiller PolarBear 2 in1 Calculator Number Pad,$69,n/a,Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Coolkiller ROCOCO,$89,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Coolkiller ROCOCO Number Pad,$89,n/a,Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Coolkiller Rococo Series,$80,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Coolkiller Spring Cute,$179,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",yes,no
Coolkiller Spring Series,$179,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
Coolkiller VIVID67 Piano Lacquer,$119,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Coolkiller VIVID67 Sound,$165,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Corsair K100,$200,n/a,n/a,no,yes,Alu case,yes,"Wired,",no,no
Corsair K100Air,$389,"100%,",Gasket Mount,no,no,"Alu case,",yes,"Wireless,",no,no
Corsair K65 Plus,$130,"65%,",Top Mount,no,yes,n/a,yes,"Wireless,",no,yes
Corsair K70 CORE,$90,"100%,",n/a,no,no,Alu case,yes,"Wired,",no,yes
Corsair K70 MAX,$230,"100%,",Gasket Mount,yes,no,"Alu case,",yes,"Wired,",no,yes
Corsair K70 OPX,$159,"80%,",n/a,no,no,Alu case,yes,"Wired,",no,yes
Corsair K70 Pro,$90,"100%,",n/a,no,no,Alu case,yes,"Wired,",no,yes
Corsair K70 Pro MINI,$90,"60%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Createkeebs LuminKey75,$189,"75%,",Plate Mount,no,yes,"Alu case,",no,"Wired,",no,yes
Createkeebs LuminKey80 WK,$199,"80%,",Plate Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Createkeebs LuminKey80 WKL,$184,"80%,",Plate Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Createkeebs Thera75 V2,$169,"75%,",PCB Mount,no,yes,"Alu case,",no,"Wired,",no,no
DOIO KB0301K Macro 1 Macro Pad,$59,n/a,PCB Mount,no,yes,"Alu case,",yes,"Wired,",no,yes
DOIO KB0304 Macro Macro Pad,$49,n/a,n/a,no,yes,Alu case,yes,"Wired,",no,no
DOIO KB0401 Macro 1 Macro Pad,$49,n/a,n/a,no,yes,Alu case,yes,"Wired,",no,yes
DOIO KB1201 Macro Macro Pad,$75,n/a,n/a,no,yes,Alu case,no,"Wired,",no,yes
DOIO KB1601 Macro 3 Macro Pad,$69,n/a,PCB Mount,no,yes,"Alu case,",yes,n/a,yes,yes
DOIO KB16B02 Macro Updated Macro Pad,$89,n/a,n/a,no,yes,Alu case,yes,"Wireless,",yes,yes
DOIO KB1801 Dual Macro Macro Pad,$148,n/a,n/a,no,yes,Alu case,no,n/a,yes,yes
DOIO KB19B01 Macro,$167,n/a,n/a,no,yes,Alu case,yes,"Wireless,",yes,yes
DOIO KB3001 Macro 3 Macro Pad,$117,n/a,n/a,no,yes,Alu case,yes,n/a,yes,yes
DOIO KB64G01 Game64 withTriple Control,$155,"60%,",Gasket Mount,no,yes,"Alu case,",yes,n/a,yes,yes
DOIO KBGMH07 HITBOX A4 Key Game PS5,$159,n/a,n/a,no,yes,Alu case,yes,n/a,yes,no
DOIO KBGMH10 Audio Game,$99,n/a,n/a,no,yes,Alu case,yes,n/a,yes,no
Dagk 2.0,$106,"40%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Dagk 5108,$69,"100%,",n/a,no,yes,n/a,yes,"Wired,",no,no
Dagk Alloy40 Pro,$78,"40%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Dagk Alloy40% 2.0,$119,"40%,",Gasket Mount,no,no,"Alu case,",no,n/a,no,no
Dagk Resin61,$96,60%,n/a,no,no,n/a,no,n/a,no,no
Dagk Walnut Wood Pro,$149,"96%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Dareu A104 Pro 8KHZ,$159,"100%,",n/a,no,yes,n/a,yes,n/a,yes,yes
Dareu A75HE,$159,"75%,",Gasket Mount,yes,no,"Alu case,",yes,"Wired,",no,yes
Dareu A81 Elastic Structure,$125,"75%,",Gasket Mount,no,no,n/a,yes,"Wireless,",no,no
Dareu A84 Pro,$224,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Dareu A87 Dream,$119,"80%,",n/a,no,no,n/a,no,"Wired,",no,no
Dareu A87 Pro,$119,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Dareu A98 Master,$169,"98%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Dareu A98 Pro,$169,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Dareu EK75,$119,"75%,",n/a,yes,no,Alu case,yes,"Wired,",no,no
Dareu EK75 RT,$119,"75%,",n/a,yes,no,Alu case,yes,n/a,no,no
Dareu Z68,$119,"65%,",n/a,no,no,n/a,no,"Wireless,",no,yes
Dareu Z82,$110,"75%,",Gasket Mount,no,no,n/a,no,"Wireless,",no,yes
Dareu Z82 Cinnamoroll Combo,$149,"75%,",n/a,no,no,n/a,no,"Wireless,",no,no
Dareu Z82 Pro Lime,$129,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Dareu Z82 Sugar Cube,$114,"75%,",n/a,no,no,Alu case,no,"Wireless,",no,yes
Daring Run Flip 6P,$149,n/a,PCB Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Darmoshark K6,$119,"80%,",Top Mount,no,yes,n/a,yes,"Wireless,",no,no
Darmoshark K8,$89,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
Darmoshark KT68Z,$129,"65%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wired,",no,no
Darmoshark TOP75,$89,"75%,",Top Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Darmoshark TOP98,$85,"98%,",Top Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Deadline Doys Pad Macro Macro Pad,$139,n/a,n/a,no,yes,Alu case,yes,"Wireless,",no,yes
